Sequence Name, SI, TI
A007C010_171117_R2HN_0.yuv,7.35E+01,4.65E+00
A007C010_171117_R2HN_1.yuv,7.55E+01,2.58E+01
A007C010_171117_R2HN_10.yuv,4.98E+01,2.21E+01
A007C010_171117_R2HN_11.yuv,5.28E+01,2.07E+01
A007C010_171117_R2HN_12.yuv,4.76E+01,1.76E+01
A007C010_171117_R2HN_13.yuv,4.56E+01,1.78E+01
A007C010_171117_R2HN_14.yuv,4.22E+01,2.69E+01
A007C010_171117_R2HN_15.yuv,3.62E+01,1.81E+01
A007C010_171117_R2HN_2.yuv,7.81E+01,2.72E+01
A007C010_171117_R2HN_3.yuv,7.13E+01,2.64E+01
A007C010_171117_R2HN_4.yuv,7.68E+01,2.54E+01
A007C010_171117_R2HN_5.yuv,7.07E+01,2.27E+01
A007C010_171117_R2HN_6.yuv,6.03E+01,1.67E+01
A007C010_171117_R2HN_7.yuv,4.42E+01,1.21E+01
A007C010_171117_R2HN_8.yuv,6.47E+01,2.23E+01
A007C010_171117_R2HN_9.yuv,7.21E+01,2.68E+01
A007C012_171117_R2HN_0.yuv,3.25E+01,1.00E+01
A007C012_171117_R2HN_1.yuv,5.40E+01,1.15E+01
A007C012_171117_R2HN_2.yuv,5.12E+01,1.62E+01
A007C015_171117_R2HN_0.yuv,5.05E+01,1.80E+01
A007C015_171117_R2HN_1.yuv,5.02E+01,1.99E+01
A007C015_171117_R2HN_2.yuv,4.57E+01,1.75E+01
A007C015_171117_R2HN_3.yuv,4.67E+01,1.77E+01
A007C015_171117_R2HN_4.yuv,4.72E+01,1.63E+01
A007C015_171117_R2HN_5.yuv,5.30E+01,1.84E+01
A007C023_171117_R2HN_0.yuv,4.11E+01,2.38E+00
A007C025_171117_R2HN_0.yuv,3.49E+01,8.71E+00
A007C025_171117_R2HN_2.yuv,3.98E+01,1.38E+01
A007C029_171117_R2HN_0.yuv,2.60E+01,1.40E+01
A007C031_171117_R2HN_0.yuv,2.78E+01,1.20E+01
A007C031_171117_R2HN_1.yuv,2.67E+01,1.48E+01
A007C031_171117_R2HN_2.yuv,2.91E+01,1.50E+01
A007C031_171117_R2HN_3.yuv,3.12E+01,1.49E+01
A007C031_171117_R2HN_4.yuv,2.92E+01,1.42E+01
A007C031_171117_R2HN_5.yuv,2.67E+01,1.38E+01
A007C031_171117_R2HN_6.yuv,2.71E+01,1.26E+01
A007C032_171117_R2HN_0.yuv,3.86E+01,6.69E+00
A007C032_171117_R2HN_1.yuv,3.79E+01,1.25E+01
A007C032_171117_R2HN_2.yuv,3.64E+01,1.35E+01
A007C032_171117_R2HN_3.yuv,3.87E+01,1.51E+01
A007C032_171117_R2HN_4.yuv,3.49E+01,1.29E+01
A007C032_171117_R2HN_5.yuv,2.53E+01,9.26E+00
A007C032_171117_R2HN_6.yuv,2.28E+01,1.12E+01
A007C032_171117_R2HN_7.yuv,2.25E+01,1.43E+01
A007C035_171117_R2HN_0.yuv,6.88E+01,2.62E+01
A007C035_171117_R2HN_1.yuv,6.11E+01,2.37E+01
A007C035_171117_R2HN_2.yuv,5.16E+01,1.85E+01
A007C035_171117_R2HN_3.yuv,4.75E+01,1.79E+01
A007C035_171117_R2HN_4.yuv,4.98E+01,1.96E+01
A007C035_171117_R2HN_5.yuv,4.36E+01,1.79E+01
A007C035_171117_R2HN_6.yuv,3.97E+01,1.87E+01
A007C036_171117_R2HN_0.yuv,5.42E+01,1.78E+01
A007C036_171117_R2HN_1.yuv,4.53E+01,1.73E+01
A007C036_171117_R2HN_2.yuv,4.86E+01,2.01E+01
A007C036_171117_R2HN_3.yuv,5.02E+01,1.72E+01
A007C036_171117_R2HN_4.yuv,5.21E+01,2.55E+01
A007C036_171117_R2HN_5.yuv,6.11E+01,3.09E+01
A007C037_171117_R2HN_0.yuv,4.80E+01,1.67E+01
A007C037_171117_R2HN_1.yuv,4.78E+01,1.73E+01
A007C037_171117_R2HN_2.yuv,4.51E+01,1.56E+01
A007C037_171117_R2HN_3.yuv,4.68E+01,1.57E+01
A007C038_171117_R2HN_0.yuv,7.39E+01,1.86E+01
A007C038_171117_R2HN_1.yuv,7.17E+01,2.40E+01
A007C038_171117_R2HN_2.yuv,6.51E+01,2.38E+01
A007C038_171117_R2HN_3.yuv,4.77E+01,1.56E+01
A007C039_171117_R2HN_0.yuv,6.16E+01,1.31E+01
A007C039_171117_R2HN_1.yuv,6.05E+01,2.64E+01
A007C039_171117_R2HN_2.yuv,6.24E+01,2.43E+01
A007C039_171117_R2HN_3.yuv,5.81E+01,2.19E+01
A007C040_171117_R2HN_0.yuv,6.17E+01,2.35E+01
A007C040_171117_R2HN_1.yuv,5.55E+01,2.08E+01
A007C040_171117_R2HN_2.yuv,4.93E+01,1.70E+01
A007C041_171117_R2HN_0.yuv,5.12E+01,1.39E+01
A007C041_171117_R2HN_1.yuv,4.77E+01,1.64E+01
A007C041_171117_R2HN_2.yuv,4.70E+01,1.83E+01
A007C041_171117_R2HN_3.yuv,4.83E+01,1.48E+01
A007C041_171117_R2HN_4.yuv,5.28E+01,1.01E+01
A007C041_171117_R2HN_5.yuv,5.91E+01,1.24E+01
A007C041_171117_R2HN_6.yuv,6.21E+01,1.19E+01
A007C042_171117_R2HN_0.yuv,6.46E+01,1.23E+01
AAdvertisingMassagesBangkokVidevo_3840x2176_25fps_10bit_420.yuv,4.29E+01,1.55E+01
AAmericanFootballS2Harmonics_3840x2176_60fps_10bit_420.yuv,7.77E+01,2.35E+00
AAmericanFootballS3Harmonics_3840x2176_60fps_10bit_420.yuv,4.11E+01,1.78E+01
AAmericanFootballS4Harmonics_3840x2176_60fps_10bit_420.yuv,5.70E+01,2.59E+01
AAnimalsS11Harmonics_3840x2176_60fps_10bit_420.yuv,3.21E+01,2.58E+01
AAnimalsS1Harmonics_3840x2176_60fps_10bit_420.yuv,3.83E+01,2.05E+01
ABangkokMarketVidevo_3840x2176_25fps_10bit_420.yuv,3.53E+01,1.39E+01
ABasketballGoalScoredS1Videvo_3840x2176_25fps_10bit_420.yuv,2.58E+01,4.65E+01
ABasketballGoalScoredS2Videvo_3840x2176_25fps_10bit_420.yuv,3.11E+01,4.30E+01
ABasketballS1YonseiUniversity_3840x2176_30fps_10bit_420.yuv,2.83E+01,2.98E+01
ABasketballS2YonseiUniversity_3840x2176_30fps_10bit_420.yuv,2.97E+01,1.15E+01
ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,2.97E+01,1.30E+01
ABoatsChaoPhrayaRiverVidevo_3840x2176_23fps_10bit_420.yuv,3.01E+01,1.12E+01
ABobbleheadBVIHFR_3840x2176_120fps_10bit_420.yuv,2.20E+01,2.24E+01
ABookcaseBVITexture_3840x2176_120fps_10bit_420.yuv,3.64E+01,4.90E+01
ABoxingPracticeHarmonics_3840x2176_60fps_10bit_420.yuv,3.86E+01,1.75E+01
ABricksBushesStaticBVITexture_3840x2176_120fps_10bit_420.yuv,8.41E+01,7.80E+00
ABricksLeavesBVITexture_3840x2176_120fps_10bit_420.yuv,8.19E+01,1.41E+01
ABricksTiltingBVITexture_3840x2176_120fps_10bit_420.yuv,7.42E+01,1.87E+01
ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,1.00E+01,5.55E+00
ABuildingRoofS1IRIS_3840x2176_24fps_10bit_420.yuv,2.41E+01,1.97E+01
ABuildingRoofS2IRIS_3840x2176_24fps_10bit_420.yuv,4.73E+01,3.08E+01
ABuildingRoofS3IRIS_3840x2176_24fps_10bit_420.yuv,4.35E+01,1.81E+01
ABuildingRoofS4IRIS_3840x2176_24fps_10bit_420.yuv,3.79E+01,3.01E+01
ABuntingHangingAcrossHongKongVidevo_3840x2176_25fps_10bit_420.yuv,4.74E+01,1.76E+01
ABusyHongKongStreetVidevo_3840x2176_25fps_10bit_420.yuv,5.29E+01,2.44E+01
ACalmingWaterBVITexture_3840x2176_120fps_10bit_420.yuv,3.39E+01,2.57E+01
ACarpetPanAverageBVITexture_3840x2176_120fps_10bit_420.yuv,1.88E+01,1.69E+01
ACatchBVIHFR_3840x2176_120fps_10bit_420.yuv,6.10E+01,7.30E+00
