Codec,CRF,Ref,Comp,FileStream,PSNR_Y,PSNR_CB,PSNR_CR,SSIM,CAMBI,VMAF,Height,Width,NumFrames
H265,51,A007C031_171117_R2HN_0.yuv,A007C031_171117_R2HN_0_H265_CRF51_.yuv,A007C031_171117_R2HN_0_H265_CRF51_.txt,30.21676031,37.18163891,35.85590941,0.773429283,7.002223808,16.98186922,1080,1920,120
H265,51,A007C031_171117_R2HN_1.yuv,A007C031_171117_R2HN_1_H265_CRF51_.yuv,A007C031_171117_R2HN_1_H265_CRF51_.txt,30.22273424,37.03166096,35.45497406,0.765701825,5.223448775,15.73140067,1080,1920,120
H265,51,A007C031_171117_R2HN_2.yuv,A007C031_171117_R2HN_2_H265_CRF51_.yuv,A007C031_171117_R2HN_2_H265_CRF51_.txt,30.19830526,36.64055825,35.06457798,0.773089767,5.189550758,17.86966478,1080,1920,120
H265,51,A007C031_171117_R2HN_3.yuv,A007C031_171117_R2HN_3_H265_CRF51_.yuv,A007C031_171117_R2HN_3_H265_CRF51_.txt,29.95675796,36.93343643,35.32828843,0.756808217,5.54482005,16.81127031,1080,1920,120
H265,51,A007C031_171117_R2HN_4.yuv,A007C031_171117_R2HN_4_H265_CRF51_.yuv,A007C031_171117_R2HN_4_H265_CRF51_.txt,30.24131943,36.89775054,35.30644092,0.752398108,6.459658,17.99893222,1080,1920,120
H265,51,A007C031_171117_R2HN_5.yuv,A007C031_171117_R2HN_5_H265_CRF51_.yuv,A007C031_171117_R2HN_5_H265_CRF51_.txt,30.51477598,36.90074848,35.10140406,0.75291675,5.992803258,17.50712417,1080,1920,120
H265,51,A007C031_171117_R2HN_6.yuv,A007C031_171117_R2HN_6_H265_CRF51_.yuv,A007C031_171117_R2HN_6_H265_CRF51_.txt,30.51286042,37.22305798,35.81421769,0.7573033,7.348717817,18.57944132,1080,1920,120
H265,51,A007C032_171117_R2HN_4.yuv,A007C032_171117_R2HN_4_H265_CRF51_.yuv,A007C032_171117_R2HN_4_H265_CRF51_.txt,31.46365561,36.14864767,38.16991206,0.880978725,6.28872865,24.03807492,1080,1920,120
AV1,63,A007C032_171117_R2HN_4.yuv,A007C032_171117_R2HN_4_AV1_CRF63_.yuv,A007C032_171117_R2HN_4_AV1_CRF63_.txt,37.864278,39.30110555,41.45301588,0.968014008,5.190330758,73.4825255,1080,1920,120
H264,51,A007C032_171117_R2HN_5.yuv,A007C032_171117_R2HN_5_H264_CRF51_.yuv,A007C032_171117_R2HN_5_H264_CRF51_.txt,28.6820713,36.06816788,37.12242333,0.7805059,6.644251708,9.071798933,1080,1920,120
H265,51,A007C032_171117_R2HN_5.yuv,A007C032_171117_R2HN_5_H265_CRF51_.yuv,A007C032_171117_R2HN_5_H265_CRF51_.txt,32.09735776,36.03016517,36.31781243,0.8605038,6.650598633,16.78206198,1080,1920,120
H265,51,A007C032_171117_R2HN_6.yuv,A007C032_171117_R2HN_6_H265_CRF51_.yuv,A007C032_171117_R2HN_6_H265_CRF51_.txt,31.70447213,35.91209278,36.41847408,0.8365094,5.661392833,19.00831788,1080,1920,120
H265,51,A007C032_171117_R2HN_7.yuv,A007C032_171117_R2HN_7_H265_CRF51_.yuv,A007C032_171117_R2HN_7_H265_CRF51_.txt,31.68934067,35.39413162,35.28209056,0.851333892,5.844317225,14.32759283,1080,1920,120
H264,41,A007C035_171117_R2HN_0.yuv,A007C035_171117_R2HN_0_H264_CRF41_.yuv,A007C035_171117_R2HN_0_H264_CRF41_.txt,32.45371504,37.82367389,37.00559916,0.953723983,5.33353125,64.19172173,1080,1920,120
H264,31,A007C035_171117_R2HN_0.yuv,A007C035_171117_R2HN_0_H264_CRF31_.yuv,A007C035_171117_R2HN_0_H264_CRF31_.txt,37.37491997,39.84938911,39.41521228,0.988213033,10.11990695,89.8166496,1080,1920,120
