,Ref,Comp,Height,Width,PSNR_Y,PSNR_Cb,PSNR_Cr,SSIM,VMAF,CAMBI
0,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_H265_CRF41_.yuv,1080,1920,36.888596,39.974195,41.244949,0.985938,71.95085,0.01008
1,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_H265_CRF31_.yuv,1080,1920,42.420811,43.182368,44.295476,0.996327,90.438826,0.005002
2,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_H265_CRF51_.yuv,1080,1920,31.542584,36.414848,37.400739,0.94544,33.17923,0.004483
3,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_H265_CRF21_.yuv,1080,1920,46.290052,47.706417,47.740788,0.99826,95.728311,0.004834
4,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_AV1_CRF63_.yuv,1080,1920,39.639183,42.967929,43.54692,0.993141,83.233155,0.005048
5,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_AV1_CRF51_.yuv,1080,1920,44.295845,46.612696,46.805121,0.997486,94.277462,0.009357
6,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_AV1_CRF38_.yuv,1080,1920,45.458673,47.958948,47.969356,0.997986,95.78272,0.009092
7,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_AV1_CRF26_.yuv,1080,1920,45.918878,48.57739,48.56058,0.998168,96.195517,0.003646
8,A007C041_171117_R2HN_3.yuv,ab_A007C041_171117_R2HN_3_AV1_CRF13_.yuv,1080,1920,46.624887,49.025163,49.073719,0.99848,96.38121,0.007742
9,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ab_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H264_CRF31_.yuv,2176,3840,42.675404,42.0539,45.189029,0.995936,81.868085,0.02895
10,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ab_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF41_.yuv,2176,3840,38.809983,40.252031,42.408757,0.984643,64.884767,0.011679
11,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ab_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF51_.yuv,2176,3840,33.3051,36.833338,37.511888,0.941568,28.922068,0.021909
12,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ab_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_AV1_CRF63_.yuv,2176,3840,42.088605,41.587845,44.8008,0.993657,79.523773,0.013873
13,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ab_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF63_.yuv,2176,3840,44.122935,39.661808,48.877005,0.99455,83.896951,0.000292
14,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ab_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF51_.yuv,2176,3840,44.933962,40.250843,50.128641,0.996365,89.54868,0.00053
15,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ab_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF38_.yuv,2176,3840,45.363088,41.042385,50.447879,0.997188,90.607892,0.001998
16,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ab_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF26_.yuv,2176,3840,45.86419,41.722281,50.725215,0.997651,91.09793,0.001397
17,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ab_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF13_.yuv,2176,3840,46.468381,42.043608,51.142102,0.997954,91.333252,0.001621
18,aom_meridian_3840x2160_5994_hdr10_22412-22738.yuv,ab_aom_meridian_3840x2160_5994_hdr10_22412-22738_H265_CRF41_.yuv,1080,1920,34.657328,46.018606,49.476613,0.951518,48.77959,0.010838
19,aom_meridian_3840x2160_5994_hdr10_22412-22738.yuv,ab_aom_meridian_3840x2160_5994_hdr10_22412-22738_H265_CRF51_.yuv,1080,1920,31.410322,43.91157,45.123801,0.878387,13.579695,0.024682
20,aom_meridian_3840x2160_5994_hdr10_22412-22738.yuv,ab_aom_meridian_3840x2160_5994_hdr10_22412-22738_AV1_CRF63_.yuv,1080,1920,36.735249,46.650679,50.124041,0.972632,64.713063,0.010168
21,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,ab_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF63_.yuv,1080,1920,44.78231,43.713792,51.529567,0.992781,79.515278,0.000602
22,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,ab_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF38_.yuv,1080,1920,45.574874,44.832609,53.51246,0.995118,84.506677,0.001968
23,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,ab_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF51_.yuv,1080,1920,45.411008,44.593977,53.106222,0.994607,82.969166,0.000982
24,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,ab_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF26_.yuv,1080,1920,46.038556,45.224567,53.673609,0.995843,85.124925,0.004595
25,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,ab_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF13_.yuv,1080,1920,46.933328,45.560989,53.840032,0.996628,85.834255,0.016543
26,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,ab_AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.yuv,2176,3840,34.763172,40.108106,42.988011,0.939238,36.658971,0.01165
27,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,ab_AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.yuv,2176,3840,42.483266,47.049357,49.6881,0.991187,78.51796,0.003386
28,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,ab_AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.yuv,2176,3840,45.265742,49.336089,51.644846,0.997042,89.241942,0.004751
29,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,ab_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.yuv,2176,3840,35.597373,41.808519,43.316545,0.941649,43.303362,0.012324
30,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,ab_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.yuv,2176,3840,43.24379,47.798162,49.902876,0.992193,80.018246,0.003309
31,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,ab_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.yuv,2176,3840,45.680115,49.744258,51.547902,0.996968,90.023676,0.004103
32,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,ab_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF38_.yuv,2176,3840,46.1998,50.202457,51.894264,0.997635,91.609964,0.005679
33,BHamsterBVIHFR_1920x1088_120fps_10bit_420.yuv,ab_BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF41_.yuv,1088,1920,33.141795,36.756239,41.195933,0.956142,56.202081,0.038396
34,BHamsterBVIHFR_1920x1088_120fps_10bit_420.yuv,ab_BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF51_.yuv,1088,1920,27.407676,33.761544,37.871638,0.648884,14.157541,0.061551
35,CLakeYonseiUniversity_960x544_30fps_10bit_420.yuv,ab_CLakeYonseiUniversity_960x544_30fps_10bit_420_H265_CRF51_.yuv,544,960,24.764787,36.362803,38.948652,0.581474,15.585545,0.168402
36,CSGO_0.yuv,ab_CSGO_0_AV1_CRF63_.yuv,1080,1920,48.034926,55.075623,57.891947,0.998647,95.781905,0.030521
37,CSGO_0.yuv,ab_CSGO_0_AV1_CRF51_.yuv,1080,1920,49.157906,55.496242,58.550104,0.998842,96.649673,0.023123
38,CSGO_0.yuv,ab_CSGO_0_AV1_CRF38_.yuv,1080,1920,49.59007,55.834009,58.869559,0.998901,96.988628,0.010412
39,CSGO_0.yuv,ab_CSGO_0_AV1_CRF26_.yuv,1080,1920,49.976565,56.056222,59.013639,0.999023,97.077898,0.008454
