,Ref,Comp,Height,Width,PSNR_Y,PSNR_Cb,PSNR_Cr,SSIM,VMAF,CAMBI
0,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_H265_CRF41_.yuv,1080,1920,36.976587,39.974195,41.244949,0.985837,71.957309,8.474092
1,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_H265_CRF31_.yuv,1080,1920,42.768592,43.182368,44.295476,0.996364,90.469267,11.013452
2,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_H265_CRF51_.yuv,1080,1920,31.567847,36.414848,37.400739,0.945247,33.165806,6.530676
3,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_H265_CRF21_.yuv,1080,1920,47.162533,47.706417,47.740788,0.998312,95.757393,11.204907
4,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_AV1_CRF63_.yuv,1080,1920,39.824327,42.967929,43.54692,0.993245,83.269218,9.724513
5,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_AV1_CRF51_.yuv,1080,1920,44.894911,46.612696,46.805121,0.997733,94.345296,9.730188
6,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_AV1_CRF38_.yuv,1080,1920,46.257153,47.958948,47.969356,0.998214,95.832253,10.400894
7,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_AV1_CRF26_.yuv,1080,1920,46.770771,48.57739,48.56058,0.998378,96.24253,9.543003
8,A007C041_171117_R2HN_3.yuv,A007C041_171117_R2HN_3_AV1_CRF13_.yuv,1080,1920,47.341888,49.025163,49.073719,0.998757,96.403027,1.031106
9,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H264_CRF31_.yuv,2176,3840,42.964984,42.0539,45.189029,0.99631,82.00987,6.046922
10,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF41_.yuv,2176,3840,38.887682,40.252031,42.408757,0.984245,64.969163,7.479207
11,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF51_.yuv,2176,3840,33.323794,36.833338,37.511888,0.940877,28.931415,6.931346
12,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_AV1_CRF63_.yuv,2176,3840,42.346159,41.587845,44.8008,0.994014,79.690153,6.76404
13,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF63_.yuv,2176,3840,44.828757,39.661808,48.877005,0.99417,83.812766,20.332603
14,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF51_.yuv,2176,3840,45.871231,40.250843,50.128641,0.996454,89.599625,20.883814
15,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF38_.yuv,2176,3840,46.423547,41.042385,50.447879,0.997613,90.697702,19.196877
