,Ref,Comp,Height,Width,PSNR_Y,PSNR_Cb,PSNR_Cr,SSIM,VMAF,CAMBI
0,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_H265_CRF41_.yuv,1080,1920,33.1989575,34.150923500000005,31.7137995,0.987093,76.1808755,0.0
1,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_H265_CRF31_.yuv,1080,1920,34.242722,36.1588895,34.3556435,0.9931760000000001,88.7306805,0.0
2,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_H265_CRF51_.yuv,1080,1920,30.439375,31.647085500000003,29.8296835,0.9704980000000001,61.444963,0.0
3,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_H265_CRF21_.yuv,1080,1920,34.91713,35.9263755,35.167843500000004,0.9953135,93.647249,0.0
4,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_AV1_CRF63_.yuv,1080,1920,34.51352,36.215239,34.418587,0.993027,85.771329,0.0
5,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_AV1_CRF51_.yuv,1080,1920,34.902725000000004,36.003471,35.146975,0.9949600000000001,92.1353125,0.0
6,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_AV1_CRF38_.yuv,1080,1920,35.0451765,36.048249999999996,35.311894,0.99543,93.514532,0.0
7,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_AV1_CRF26_.yuv,1080,1920,34.9083435,35.806464500000004,35.255573,0.995392,93.8795965,0.0
8,A007C041_171117_R2HN_3.yuv,ddA007C041_171117_R2HN_3_AV1_CRF13_.yuv,1080,1920,34.9190615,35.6740425,35.2144885,0.995409,94.210643,0.0
9,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ddABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H264_CRF31_.yuv,2176,3840,38.581864,38.7742715,37.9785785,0.9929175,94.292336,0.0
10,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ddABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF41_.yuv,2176,3840,37.8375985,38.1417625,37.4698305,0.9896195,88.14338749999999,0.0
11,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ddABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF51_.yuv,2176,3840,34.881111,35.511637,34.6496635,0.975545,70.817693,0.0
12,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,ddABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_AV1_CRF63_.yuv,2176,3840,38.387704,38.5763445,37.7289385,0.9924459999999999,92.870756,0.0
13,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ddABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF63_.yuv,2176,3840,33.846686500000004,33.621012,33.4657085,0.993992,79.67004449999999,0.0
14,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,ddABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF51_.yuv,2176,3840,33.862594,33.5750445,33.476545,0.994634,80.727937,0.0
