,Ref,Comp,Height,Width,PSNR_Y,PSNR_Cb,PSNR_Cr,SSIM,VMAF,CAMBI
0,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_H265_CRF41_.yuv,1080,1920,36.724496,42.05597,42.052211,0.985653,72.136958,4.099539
1,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_H265_CRF31_.yuv,1080,1920,41.612601,44.768879,44.489486,0.995978,89.667364,4.395829
2,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_H265_CRF51_.yuv,1080,1920,31.547622,37.659659,37.972193,0.946148,33.774603,3.377978
3,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_H265_CRF21_.yuv,1080,1920,44.345826,46.892892,46.440623,0.997925,93.995885,3.94605
4,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_AV1_CRF63_.yuv,1080,1920,39.487276,43.734672,43.482005,0.992986,82.982888,4.476528
5,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_AV1_CRF51_.yuv,1080,1920,43.437358,46.110467,45.784012,0.997191,92.819027,4.432842
6,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_AV1_CRF38_.yuv,1080,1920,44.303026,46.673756,46.329576,0.997664,94.06121,4.444498
7,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_AV1_CRF26_.yuv,1080,1920,44.480117,46.870315,46.498536,0.997784,94.37176,4.162954
8,A007C041_171117_R2HN_3.yuv,hr_A007C041_171117_R2HN_3_AV1_CRF13_.yuv,1080,1920,44.677365,47.004717,46.808512,0.997945,94.487231,2.387397
9,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,hr_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H264_CRF31_.yuv,2176,3840,40.672638,42.145971,45.472636,0.995542,82.724554,2.048507
10,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,hr_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF41_.yuv,2176,3840,37.9122,40.620703,42.784002,0.984294,65.961292,2.378526
