,Ref,Comp,Height,Width,PSNR_Y,PSNR_Cb,PSNR_Cr,SSIM,VMAF,CAMBI
0,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_H265_CRF41_.yuv,1080,1920,35.6187187,41.49940350000001,41.811538199999994,0.9831922000000002,69.26000160000001,4.184732800000001
1,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_H265_CRF31_.yuv,1080,1920,40.5317176,44.325913299999996,44.2706158,0.9951671999999998,90.08090200000001,4.405309099999999
2,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_H265_CRF51_.yuv,1080,1920,31.0139668,37.3078527,37.9264902,0.9420535999999998,32.336179900000005,3.436718
3,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_H265_CRF21_.yuv,1080,1920,43.519160899999996,46.1950226,46.0946057,0.9975386,96.3233581,3.9987454
4,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_AV1_CRF63_.yuv,1080,1920,37.4375079,42.782385399999995,43.05142969999999,0.9899622000000001,79.29356279999999,4.5416129
5,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_AV1_CRF51_.yuv,1080,1920,41.340671199999996,45.3359858,45.3345288,0.9960661999999999,92.6775022,4.5324561
6,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_AV1_CRF38_.yuv,1080,1920,43.0109178,46.2384508,46.0774373,0.9972502999999999,95.8755234,4.532297700000001
7,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_AV1_CRF26_.yuv,1080,1920,43.8905182,46.701110400000005,46.454421499999995,0.9977006999999999,97.3893855,4.2766395
8,A007C041_171117_R2HN_3.yuv,res_A007C041_171117_R2HN_3_AV1_CRF13_.yuv,1080,1920,44.45386320000001,46.997517599999995,46.907589699999996,0.9979949999999999,97.94680000000001,2.6970255
9,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,res_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H264_CRF31_.yuv,2176,3840,40.617734999999996,41.9902659,45.456289600000005,0.9952968999999999,83.87614,1.9995324
10,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,res_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF41_.yuv,2176,3840,36.9900224,40.3386155,42.4656674,0.9818685,60.1365919,2.3463255
11,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,res_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H265_CRF51_.yuv,2176,3840,31.864932600000003,36.9003075,37.700303000000005,0.9316675999999999,20.791693600000002,2.7127564
12,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,res_ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_AV1_CRF63_.yuv,2176,3840,38.1624883,40.975997899999996,43.5982617,0.9900271,68.6762336,2.2613568
13,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,res_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF63_.yuv,2176,3840,42.2919921,38.9361669,48.2605055,0.9908197999999999,72.3051115,9.6297011
14,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,res_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF51_.yuv,2176,3840,43.4223236,39.440779000000006,49.374886100000005,0.9945425999999999,83.2144097,9.663457099999999
15,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,res_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF38_.yuv,2176,3840,43.8561202,39.735142100000004,49.5210664,0.9957573,87.21284089999999,8.426485000000001
16,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,res_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF26_.yuv,2176,3840,44.2099865,40.209963,49.822251800000004,0.9966932,90.2548864,6.8159704
17,ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420.yuv,res_ABubblesPitcherS1BVITexture_3840x2176_120fps_10bit_420_AV1_CRF13_.yuv,2176,3840,44.7598486,42.5653095,50.432478599999996,0.9979422,92.1356291,5.277398000000001
18,aom_meridian_3840x2160_5994_hdr10_22412-22738.yuv,res_aom_meridian_3840x2160_5994_hdr10_22412-22738_H265_CRF41_.yuv,1080,1920,33.7705214,45.109369300000004,46.993077899999996,0.9427620000000001,44.39493,2.3301287
19,aom_meridian_3840x2160_5994_hdr10_22412-22738.yuv,res_aom_meridian_3840x2160_5994_hdr10_22412-22738_H265_CRF51_.yuv,1080,1920,30.886109299999998,44.1595275,45.3004533,0.8682458000000001,13.2057228,2.9368558000000005
20,aom_meridian_3840x2160_5994_hdr10_22412-22738.yuv,res_aom_meridian_3840x2160_5994_hdr10_22412-22738_AV1_CRF63_.yuv,1080,1920,34.5127521,46.1176872,47.420117,0.952526,50.8358795,2.4714441000000003
21,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,res_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF63_.yuv,1080,1920,43.4425898,43.1336639,48.884895,0.9931843,79.5577531,2.7262634
22,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,res_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF38_.yuv,1080,1920,43.459641700000006,43.4966929,48.98995480000001,0.9949831,86.29517430000001,2.6323011000000003
23,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,res_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF51_.yuv,1080,1920,43.4379488,43.4881222,49.062729000000004,0.9947792,84.9293204,2.6963547
24,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,res_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF26_.yuv,1080,1920,43.45885019999999,43.5947398,49.0092686,0.9950914,86.4614511,2.1900643000000004
25,aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,res_aom_nocturne_3840x2160_60_hdr10_9010-9349_AV1_CRF13_.yuv,1080,1920,43.516472699999994,43.9077185,48.9835921,0.9955104,87.37317920000001,1.9599898
26,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,res_AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.yuv,2176,3840,33.1803768,40.20029340000001,42.8686161,0.9205087000000001,34.2545126,4.2964766
27,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,res_AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.yuv,2176,3840,37.336101400000004,43.0881645,44.9122042,0.9768822,59.73903190000001,3.583435
28,AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,res_AStreetDancerS3IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.yuv,2176,3840,41.4658171,45.8013802,47.05031820000001,0.9917076,81.86140359999999,3.1442599
29,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,res_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_H265_CRF51_.yuv,2176,3840,33.850311999999995,41.9267831,43.319216499999996,0.9298757,36.8665163,4.0758892
30,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,res_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF63_.yuv,2176,3840,38.3015069,44.7510136,46.0838982,0.9798034,61.1325779,3.8881331
31,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,res_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF51_.yuv,2176,3840,42.336388299999996,46.61694859999999,47.413319800000004,0.9926419,82.6221336,3.8161223
32,AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,res_AStreetDancerS5IRIS_3840x2176_24fps_10bit_420_AV1_CRF38_.yuv,2176,3840,44.0799427,47.282277900000004,47.7495498,0.9955212,91.7162821,3.6872537000000003
33,BHamsterBVIHFR_1920x1088_120fps_10bit_420.yuv,res_BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF41_.yuv,1088,1920,32.7794832,36.7593982,41.6178613,0.9548412000000001,57.39467419999998,3.1716466
34,BHamsterBVIHFR_1920x1088_120fps_10bit_420.yuv,res_BHamsterBVIHFR_1920x1088_120fps_10bit_420_H264_CRF51_.yuv,1088,1920,26.452072299999998,33.8109535,38.663506500000004,0.6286449000000001,16.3728817,4.0996815
35,CLakeYonseiUniversity_960x544_30fps_10bit_420.yuv,res_CLakeYonseiUniversity_960x544_30fps_10bit_420_H265_CRF51_.yuv,544,960,24.2334538,35.8801726,39.6841335,0.5616044,16.487093199999997,2.0121636
36,CSGO_0.yuv,res_CSGO_0_AV1_CRF63_.yuv,1080,1920,44.5858583,49.0177974,49.016296,0.9978856,92.05597250000001,5.851702300000001
37,CSGO_0.yuv,res_CSGO_0_AV1_CRF51_.yuv,1080,1920,44.5999545,49.087911000000005,49.13292270000001,0.9978246000000001,92.9949326,5.612337899999999
38,CSGO_0.yuv,res_CSGO_0_AV1_CRF38_.yuv,1080,1920,44.690938700000004,49.135915600000004,49.198384100000006,0.9978953,93.2228384,5.6294396
39,CSGO_0.yuv,res_CSGO_0_AV1_CRF26_.yuv,1080,1920,44.8287107,49.1110958,49.318057499999995,0.9980176999999999,93.24089409999999,5.4344932
40,CSGO_0.yuv,res_CSGO_0_AV1_CRF13_.yuv,1080,1920,44.826104400000006,49.0993379,49.439110400000004,0.9980256000000001,93.21376819999999,5.5025213
41,CSGO_0.yuv,res_CSGO_0_AV1_CRF1_.yuv,1080,1920,44.938422200000005,49.0322879,50.0898275,0.9981514,93.15171830000001,5.2411747
42,CSGO_11.yuv,res_CSGO_11_H264_CRF51_.yuv,1080,1920,25.484740499999997,39.0438586,40.6376769,0.7137511,17.7470167,1.3390160000000002
43,CSGO_11.yuv,res_CSGO_11_AV1_CRF63_.yuv,1080,1920,32.542600400000005,43.0247711,44.0955352,0.9327287,63.3242017,1.2281511000000003
44,DCrosswalkHongKongVidevo_480x272_25fps_10bit_420.yuv,res_DCrosswalkHongKongVidevo_480x272_25fps_10bit_420_H264_CRF51_.yuv,272,480,22.8092037,32.926242200000004,32.2943694,0.5976142000000001,8.8855485,1.6589408000000003
45,DDrivingPOVHarmonics_480x272_60fps_10bit_420.yuv,res_DDrivingPOVHarmonics_480x272_60fps_10bit_420_AV1_CRF63_.yuv,272,480,30.6837674,37.9252405,40.5290679,0.9083124999999999,79.75250220000001,3.6718238
46,DFireS71Mitch_480x272_24fps_10bit_420.yuv,res_DFireS71Mitch_480x272_24fps_10bit_420_H264_CRF41_.yuv,272,480,27.580251300000004,37.2543802,35.5881475,0.8704398,39.73459,2.3135350000000003
47,DFireS71Mitch_480x272_24fps_10bit_420.yuv,res_DFireS71Mitch_480x272_24fps_10bit_420_H264_CRF51_.yuv,272,480,22.1975347,31.855836200000006,30.864727699999996,0.7638746999999999,3.699244,5.596184
48,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,res_Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H264_CRF41_.yuv,1080,1920,34.935120600000005,43.495102700000004,44.3609781,0.9135015,20.395310000000002,3.1556653999999997
49,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,res_Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H265_CRF51_.yuv,1080,1920,31.926336300000003,39.5375183,40.5767321,0.8474875000000001,3.1132578,3.8427215000000006
50,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,res_Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_H265_CRF41_.yuv,1080,1920,35.7867284,42.672796299999995,42.9328699,0.9262663999999999,29.0086811,3.3360988999999996
51,Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10.yuv,res_Dolby_Amaze_Lossless-ATMOS-thedigitaltheater_10_AV1_CRF63_.yuv,1080,1920,34.773191100000005,42.8866955,42.9156244,0.9100836999999998,20.9770672,3.2473265
52,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF41_.yuv,1080,1920,36.1090576,44.01062339999999,45.6497127,0.9677912000000001,53.573084900000005,2.3600762
53,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF51_.yuv,1080,1920,30.129144299999997,39.945833500000006,41.267226,0.8399877,4.5789398,2.3493094
54,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF21_.yuv,1080,1920,45.3938316,47.2573215,48.5084129,0.9978611,95.13559980000001,0.9854172999999999
55,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF31_.yuv,1080,1920,42.244345700000004,45.76849309999999,47.7081108,0.9953744,87.9420273,1.5490238
56,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF11_.yuv,1080,1920,46.1006231,47.987491899999995,49.1064573,0.9983957,96.61102770000001,0.45130489999999995
57,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_4_H264_CRF1_.yuv,1080,1920,46.25205150000001,48.177777,49.2853466,0.9984898999999998,96.88540259999999,0.44069100000000005
58,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF63_.yuv,1080,1920,35.204805699999994,40.3462737,39.8245355,0.9427078999999999,57.43260989999999,2.1754873
59,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF51_.yuv,1080,1920,38.876356,43.921208,44.372067300000005,0.9816233000000001,89.589958,2.4025899
60,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF38_.yuv,1080,1920,40.9768315,45.2838801,46.2249109,0.9928264,98.9113275,2.3140145
61,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF26_.yuv,1080,1920,42.50182840000001,46.1579454,47.4078949,0.9965928999999999,99.4508336,2.2778877
62,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF13_.yuv,1080,1920,43.318662700000004,46.5240685,48.0502,0.9978144,99.461471,2.2790007
63,Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7.yuv,res_Dolby_Atmos_Natures_Fury_1920x1080_ATMOS_71-thedigitaltheater_7_AV1_CRF1_.yuv,1080,1920,43.9240536,47.0158394,48.9664679,0.9985125,99.4584271,1.9463830999999998
64,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_H264_CRF51_.yuv,1080,1920,29.883789099999994,42.1936755,42.681848,0.9322473,31.7301658,1.6663594999999998
65,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF51_.yuv,1080,1920,36.100354100000004,42.2034117,42.198988699999994,0.9596281999999998,35.730082800000005,2.9065144
66,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF41_.yuv,1080,1920,37.973183899999995,47.18055940000001,49.7556843,0.9754951999999999,47.4220222,2.8815129999999995
67,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF31_.yuv,1080,1920,39.053630299999995,48.56220119999999,48.1895392,0.9886426,66.4622222,2.837729
68,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF63_.yuv,1080,1920,37.822729599999995,46.7253896,49.7456173,0.9737266,42.1855383,3.2918414999999994
69,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF51_.yuv,1080,1920,38.899400299999996,48.7234201,49.444471899999996,0.9862663999999999,57.4366083,3.0081893
70,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF38_.yuv,1080,1920,39.257703,49.367133800000005,49.3311336,0.9908849,66.4934909,2.9242719999999998
71,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF26_.yuv,1080,1920,39.3926805,49.7679192,49.3143046,0.9931669,74.1928884,2.4610943
72,FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,res_FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF13_.yuv,1080,1920,39.5192255,49.745391700000006,49.367217499999995,0.9942322000000001,78.3897398,1.7493421999999998
73,GTAV_8.yuv,res_GTAV_8_AV1_CRF63_.yuv,1080,1920,36.8325066,45.4672542,46.3419377,0.9667885,63.834056200000006,1.9929265999999994
74,GTAV_8.yuv,res_GTAV_8_AV1_CRF51_.yuv,1080,1920,39.534714,47.24603760000001,48.158564500000004,0.9882386999999999,82.8505504,1.9010341
75,GTAV_8.yuv,res_GTAV_8_AV1_CRF38_.yuv,1080,1920,40.8003596,47.7542965,48.7998836,0.9934665,89.64837159999999,1.7408000000000001
76,GTAV_8.yuv,res_GTAV_8_AV1_CRF26_.yuv,1080,1920,41.8128193,48.011987100000006,49.211642999999995,0.9958266,93.4389162,1.5589144000000001
77,HexagonTileLowSpeedLowGran_300frames_1920x1080.yuv,res_HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF38_.yuv,1080,1920,43.01599350000001,47.4890426,49.7710733,0.9990607,99.4491401,4.799005200000001
78,HexagonTileLowSpeedLowGran_300frames_1920x1080.yuv,res_HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF26_.yuv,1080,1920,43.332446700000006,47.8518613,50.272359400000006,0.9991736,99.4767177,4.4907561000000005
79,HexagonTileLowSpeedLowGran_300frames_1920x1080.yuv,res_HexagonTileLowSpeedLowGran_300frames_1920x1080_AV1_CRF13_.yuv,1080,1920,43.5540122,47.94831739999999,50.4073834,0.9992723,99.4869625,3.6651801000000006
80,MINECRAFT_4.yuv,res_MINECRAFT_4_AV1_CRF63_.yuv,1080,1920,32.698034899999996,40.1716629,39.4536575,0.9404669,62.53063430000001,1.7527682000000002
81,MINECRAFT_4.yuv,res_MINECRAFT_4_AV1_CRF51_.yuv,1080,1920,35.7522836,42.9232471,42.8289748,0.9780051999999999,82.02509979999999,1.5169245
82,MINECRAFT_4.yuv,res_MINECRAFT_4_AV1_CRF38_.yuv,1080,1920,37.307269000000005,44.0564904,44.2948724,0.9880202,88.98257659999999,1.3381314999999998
