Ref,Codec,CRF,Comp,FileStream,PSNR_Y,PSNR_CB,PSNR_CR,SSIM,CAMBI,VMAF,BBAND,Height,Width,NumFrames,SI,TI,PSNR_Y(AB),PSNR_CB(AB),PSNR_CR(AB),SSIM(AB),CAMBI(AB),VMAF(AB),BBAND(AB),PSNR_Y(HN),PSNR_CB(HN),PSNR_CR(HN),SSIM(HN),VMAF(HN),CAMBI(HN),BBAND(HN)
A007C041_171117_R2HN_3.yuv,H265,41,A007C041_171117_R2HN_3_H265_CRF41_.yuv,A007C041_171117_R2HN_3_H265_CRF41_.txt,35.38730819,39.09344146,40.65230167,0.98249205,7.264380242,67.92434989,1.074786,1080,1920,120,48.3,14.8,35.34192628,39.09344146,40.65230167,0.98262785,0.0068053,67.91116784,0.289,35.6187187,41.4994035,41.8115382,0.9831922,69.2600016,4.1847328, 0.45 
A007C041_171117_R2HN_3.yuv,H265,31,A007C041_171117_R2HN_3_H265_CRF31_.yuv,A007C041_171117_R2HN_3_H265_CRF31_.txt,41.15570746,42.50253521,43.98790777,0.995486758,9.374035925,91.35466108,1.111123,1080,1920,120,48.3,14.8,40.96926126,42.50253521,43.98790777,0.995508583,0.00429285,91.33298538,0.248,40.5317176,44.3259133,44.2706158,0.9951672,90.080902,4.4053091, 0.41 
A007C041_171117_R2HN_3.yuv,H265,51,A007C041_171117_R2HN_3_H265_CRF51_.yuv,A007C041_171117_R2HN_3_H265_CRF51_.txt,30.37466683,35.42368923,36.7794284,0.936862733,5.350115708,28.35153717,1.131746,1080,1920,120,48.3,14.8,30.35949088,35.42368923,36.7794284,0.93703325,0.009016508,28.35274548,0.332,31.0139668,37.3078527,37.9264902,0.9420536,32.3361799,3.436718, 0.48 
A007C041_171117_R2HN_3.yuv,H265,21,A007C041_171117_R2HN_3_H265_CRF21_.yuv,A007C041_171117_R2HN_3_H265_CRF21_.txt,45.54990497,46.14269078,46.98223978,0.99799635,8.508390458,98.12846033,0.7232143,1080,1920,120,48.3,14.8,45.05445616,46.14269078,46.98223978,0.997969467,0.003498817,98.10723961,0.244,43.5191609,46.1950226,46.0946057,0.9975386,96.3233581,3.9987454, 0.38 
A007C041_171117_R2HN_3.yuv,AV1,63,A007C041_171117_R2HN_3_AV1_CRF63_.yuv,A007C041_171117_R2HN_3_AV1_CRF63_.txt,36.79526175,41.14577971,42.24370074,0.987840725,9.70182415,77.20792538,1.609965,1080,1920,120,48.3,14.8,36.72416568,41.14577971,42.24370074,0.987841633,0.004761017,77.19111532,0.288,37.4375079,42.7823854,43.0514297,0.9899622,79.2935628,4.5416129, 0.47 
A007C041_171117_R2HN_3.yuv,AV1,51,A007C041_171117_R2HN_3_AV1_CRF51_.yuv,A007C041_171117_R2HN_3_AV1_CRF51_.txt,41.482114,44.35615243,45.41344103,0.995890458,9.546249475,92.86255635,1.409356,1080,1920,120,48.3,14.8,41.26399025,44.35615243,45.41344103,0.995792425,0.006395242,92.83136374,0.26,41.3406712,45.3359858,45.3345288,0.9960662,92.6775022,4.5324561, 0.43 
A007C041_171117_R2HN_3.yuv,AV1,38,A007C041_171117_R2HN_3_AV1_CRF38_.yuv,A007C041_171117_R2HN_3_AV1_CRF38_.txt,44.127271,45.95041836,46.79257988,0.997555075,9.699085275,96.85534399,1.565411,1080,1920,120,48.3,14.8,43.72523813,45.95041836,46.79257988,0.997428383,0.008442492,96.81492313,0.253,43.0109178,46.2384508,46.0774373,0.9972503,95.8755234,4.5322977, 0.42 
A007C041_171117_R2HN_3.yuv,AV1,26,A007C041_171117_R2HN_3_AV1_CRF26_.yuv,A007C041_171117_R2HN_3_AV1_CRF26_.txt,45.91771599,47.12729095,47.69255198,0.998179242,9.367880208,98.80605266,1.082875,1080,1920,120,48.3,14.8,45.32613038,47.12729095,47.69255198,0.998037042,0.0080509,98.76678688,0.249,43.8905182,46.7011104,46.4544215,0.9977007,97.3893855,4.2766395, 0.40 
A007C041_171117_R2HN_3.yuv,AV1,13,A007C041_171117_R2HN_3_AV1_CRF13_.yuv,A007C041_171117_R2HN_3_AV1_CRF13_.txt,47.04873103,48.04115513,48.38894998,0.998489042,8.671749642,99.45470815,1.371731,1080,1920,120,48.3,14.8,46.31010337,48.04115513,48.38894997,0.998315633,0.007290433,99.4251791,0.245,44.4538632,46.9975176,46.9075897,0.997995,97.9468,2.6970255, 0.34 
ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420.yuv,H264,31,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H264_CRF31_.yuv,ABasketballS3YonseiUniversity_3840x2176_30fps_10bit_420_H264_CRF31_.txt,42.52932559,41.77069158,45.15802691,0.995779219,5.058136141,82.94889138,0.5678032,2176,3840,64,29.7,13,42.34445188,41.77069158,45.15802691,0.995502469,0.021484187,82.84848992,0.442,40.617735,41.9902659,45.4562896,0.9952969,83.87614,1.9995324, 0.43 
